listing_id,city,neighborhood_original,neighborhood_rejection_reason
mubawab.ma:native:8285928,El Jadida,El Jadida,same_as_city
mubawab.ma:native:7427225,El Jadida,El Jadida,same_as_city
mubawab.ma:native:7728790,Berrechid,Berrechid,same_as_city
mubawab.ma:native:7758670,Larache,Larache,same_as_city
mubawab.ma:native:7817604,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:7855013,Marrakech,Golf City Prestigia Votre agence immobilière LYZ,sentence_or_promotional_phrase
mubawab.ma:native:7861248,Marrakech,Les Portes de,trailing_preposition
mubawab.ma:native:7862940,Marrakech,une résidence neuve sur la Route de Casablanca à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:7873964,Marrakech,mosquée Koutoubia et à 15 minutes de l’aéroport,token_count|measurement_or_travel_time
mubawab.ma:native:7885661,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:7891443,Marrakech,le prestigieux Golf City de,trailing_preposition
mubawab.ma:native:7919562,Ifrane,prairie à,trailing_preposition
mubawab.ma:native:7937876,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:7973804,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8020556,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8041045,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8044393,Marrakech,l’un des secteurs les plus recherchés de,trailing_preposition
mubawab.ma:native:8072808,Marrakech,Marrakech Votre agence immobilière de confiance à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8075070,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8075509,Marrakech,la location à Victor Hugo,sentence_or_promotional_phrase
mubawab.ma:native:8083485,Agadir,un emplacement stratégique à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8092802,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8100234,Agadir,laver Hay Salam à,trailing_preposition
mubawab.ma:native:8101011,Agadir,le quartier recherché de Charaf,sentence_or_promotional_phrase
mubawab.ma:native:8107872,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8109288,Larache,Larache,same_as_city
mubawab.ma:native:8110295,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8111137,Fnidek,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8113880,Marrakech,partir VEPN25078 Votre agence immobilière à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8119411,Larache,prime location in,sentence_or_promotional_phrase
mubawab.ma:native:8138091,Marrakech,20min de,trailing_preposition
mubawab.ma:native:8138511,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8144810,Marrakech,l’un des quartiers les plus prisés de,trailing_preposition
mubawab.ma:native:8148632,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8149102,Marrakech,un quartier calme et recherché de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8158784,Casablanca,saisir au 14ᵉ étage avec vue dégagée sur,token_count|trailing_preposition
mubawab.ma:native:8162458,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8177373,Berrechid,l’entrée de,trailing_preposition
mubawab.ma:native:8208516,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8209784,Marrakech,le quartier prisé de Guéliz à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8210768,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8213253,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8213884,Marrakech,un emplacement stratégique à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8214312,Marrakech,prestigieuse Palmeraie de,trailing_preposition
mubawab.ma:native:8216978,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8218312,Marrakech,laver Agdal à,trailing_preposition
mubawab.ma:native:8221147,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8223631,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8224868,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8225707,Marrakech,un quartier prisé de,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8226043,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8226694,Marrakech,seulement 3 minutes de la gare de,sentence_or_promotional_phrase|measurement_or_travel_time|trailing_preposition
mubawab.ma:native:8231270,Marrakech,Targa **À,trailing_preposition
mubawab.ma:native:8232097,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8233387,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8238827,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8239077,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8240761,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8240824,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8240826,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8242726,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8247802,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8248287,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8249378,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8253285,Larache,Larache,same_as_city
mubawab.ma:native:8255435,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8259241,Essaouira,Essaouira,same_as_city
mubawab.ma:native:8260344,Marrakech,Ouahat Sidi Brahim à,trailing_preposition
mubawab.ma:native:8260768,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8261569,Essaouira,Essaouira,same_as_city
mubawab.ma:native:8261833,Marrakech,le quartier recherché de Ryad Essalam à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8262123,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8262308,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8262394,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8262468,Marrakech,5 minutes du McDonald's à,measurement_or_travel_time|trailing_preposition
mubawab.ma:native:8264383,Marrakech,le quartier prisé de Hivernage à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8266468,Agadir,saisir rapidement. Situé au cœur de,sentence_or_promotional_phrase|sentence_punctuation|trailing_preposition
mubawab.ma:native:8273513,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8273555,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8273748,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8274775,Agadir,laver Hay Salam à,trailing_preposition
mubawab.ma:native:8277441,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8278531,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8283943,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8285026,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8285305,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8289604,Casablanca,la Marina de,trailing_preposition
mubawab.ma:native:8290448,Marrakech,le quartier prisé d’Izdihar à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8291495,Khouribga,Khouribga,same_as_city
mubawab.ma:native:8292266,Essaouira,Essaouira,same_as_city
mubawab.ma:native:8293713,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8294469,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8294732,Marrakech,mythique Palmeraie de,trailing_preposition
mubawab.ma:native:8295966,Marrakech,le quartier prisé d'Agdal à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8296501,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8298787,Casablanca,miséricorde est le bonheur 1 près du bus à,token_count|trailing_preposition
mubawab.ma:native:8299256,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8299662,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8299952,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8300500,Agadir,laver Riad Salam à,trailing_preposition
mubawab.ma:native:8301097,Marrakech,l’un des quartiers les plus recherchés de,trailing_preposition
mubawab.ma:native:8301197,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8302899,Marrakech,l’un des secteurs les plus recherchés de,trailing_preposition
mubawab.ma:native:8303027,Marrakech,palmeraie à,trailing_preposition
mubawab.ma:native:8303245,Agadir,un emplacement L'opportunité d'une vie à,token_count|sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8304234,Casablanca,la Marina de,trailing_preposition
mubawab.ma:native:8304436,Marrakech,ce quartier recherché de,trailing_preposition
mubawab.ma:native:8304485,Marrakech,plus convoitée de,trailing_preposition
mubawab.ma:native:8305191,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8305306,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8305962,Casablanca,8 min de,trailing_preposition
mubawab.ma:native:8306707,Marrakech,ville de,trailing_preposition
mubawab.ma:native:8306927,Marrakech,ville de,trailing_preposition
mubawab.ma:native:8307160,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8307269,Larache,Larache,same_as_city
mubawab.ma:native:8307270,Larache,Larache,same_as_city
mubawab.ma:native:8307391,Berrechid,Berrechid,same_as_city
mubawab.ma:native:8308457,Marrakech,laver Guéliz à,trailing_preposition
mubawab.ma:native:8309078,Marrakech,l’un des secteurs les plus prisés de,trailing_preposition
mubawab.ma:native:8310340,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8310887,Larache,Larache,same_as_city
mubawab.ma:native:8311816,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8311968,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8312826,El Jadida,El Jadida,same_as_city
mubawab.ma:native:8313840,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8314039,Agadir,le quartier recherché Islane à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8314689,Casablanca,l'achat à,sentence_or_promotional_phrase|trailing_preposition
mubawab.ma:native:8314943,Agadir,laver Hay Salam à,trailing_preposition
mubawab.ma:native:8315546,Larache,Larache,same_as_city
mubawab.ma:native:8316786,Marrakech,le quartier calme et recherché d’Azouzia à,sentence_or_promotional_phrase|trailing_preposition
